Timestamp,GSR
1699737630128, 380
1699737631764, 386
1699737633320, 386
1699737634938, 377
1699737636480, 386
1699737637884, 377
1699737639668, 380
1699737641087, 377
1699737642927, 372
1699737644787, 364
1699737646727, 362
1699737648460, 369
1699737651123, 359
1699737653690, 363
1699737655735, 367
1699737657423, 350
1699737659379, 366
1699737662896, 364
1699737664594, 365
1699737666400, 350
1699737668018, 354
1699737669553, 351
1699737671093, 351
1699737672520, 356
1699737673871, 352
1699737675506, 365
1699737677133, 366
1699737678681, 365
1699737679992, 351
1699737681680, 366
1699737683416, 365
1699737685017, 366
1699737686466, 355
1699737688504, 354
1699737690036, 350
1699737691776, 350
1699737693208, 365
1699737694948, 358
1699737696690, 363
1699737698544, 350
1699737700173, 349
1699737702118, 364
1699737703857, 346
1699737705374, 346
1699737706829, 346
1699737708341, 349
1699737709693, 363
1699737711279, 347
1699737712665, 347
1699737714100, 363
1699737715432, 351
1699737716967, 351
1699737719730, 348
1699737721269, 357
1699737722699, 346
1699737724134, 360
1699737725875, 360
1699737727193, 360
1699737728703, 352
1699737730070, 348
1699737731744, 360
1699737733349, 355
1699737735197, 345
1699737737042, 353
1699737738582, 340
1699737740820, 352
1699737743511, 345
1699737745232, 357
1699737747311, 353
1699737749454, 348
1699737751179, 351
1699737752909, 355
1699737754459, 354
1699737755993, 350
1699737757721, 359
1699737759154, 356
1699737761000, 361
1699737763251, 356
1699737765094, 356
1699737767261, 366
1699737769293, 366
1699737771090, 358
1699737773251, 365
1699737775211, 365
1699737776666, 365
1699737777979, 373
1699737779369, 372
1699737781067, 373
1699737782747, 364
1699737784246, 365
1699737785986, 358
1699737787623, 362
1699737789057, 360
1699737790390, 356
1699737792027, 353
1699737793461, 347
1699737794897, 353
1699737796435, 347
1699737798437, 345
1699737799908, 347
1699737801197, 351
1699737802780, 345
1699737804419, 341
1699737805901, 331
1699737807819, 325
1699737809451, 314
1699737811283, 316
1699737813016, 320
1699737814354, 308
1699737816091, 316
1699737817848, 314
1699737820902, 311
1699737822238, 319
1699737823954, 313
1699737825720, 318
1699737827362, 311
1699737829404, 310
1699737831976, 307
1699737833834, 305
1699737836067, 305
1699737838795, 299
1699737840668, 301
1699737842003, 290
1699737844338, 296
1699737846406, 293
1699737848540, 300
1699737850300, 298
1699737852248, 292
1699737854417, 295
1699737856148, 287
1699737857743, 296
1699737859226, 298
1699737860640, 291
1699737863708, 293
1699737865527, 294
1699737867272, 304
1699737869379, 304
1699737870887, 307
1699737872358, 300
1699737873781, 310
1699737875796, 310
1699737877172, 310
1699737878848, 305
1699737880574, 306
1699737882360, 308
1699737884038, 309
1699737885662, 310
1699737887422, 321
1699737888671, 313
1699737890469, 314
1699737892980, 321
1699737894412, 326
1699737896069, 325
1699737897639, 329
1699737899178, 329
1699737900776, 322
1699737902145, 332
1699737903749, 330
1699737905591, 325
1699737906927, 327
1699737908255, 327
